id_source,url,name,address,street,house_number,postal_code,city,country,phone_number,flag_match,flag_menu,flag_coca_opp,flag_meal,flag_drink,source,website,kitchen,category,rating,reviews_nr,latitude,longitude
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/muenchen-schwanthalerstr-8?id=7,McDonald's,"Schwanthalerstraße 8, 80336 München",Schwanthalerstraße,8,80336,München,DE,+49 89 54829373,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/muenchen-goethestr-74?id=8,McDonald's,"Goethestraße 74, 80336 München",Goethestraße,74,80336,München,DE,+49 89 54379812,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/muenchen-martin-luther-str-26?id=1,McDonald's,"Martin-Luther-Straße 26, 81539 München",Martin-Luther-Straße,26,81539,München,DE,+49 89 69380366,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/hamburg-moellner-landstrasse-7a?id=55,McDonald's,"Möllner Landstraße 7a, 22111 Hamburg",Möllner Landstraße,7a,22111,Hamburg,DE,+49 40 7325722,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/heidelberg-rohrbacher-str-3?id=54,McDonald's,"Rohrbacher Straße 3, 69115 Heidelberg",Rohrbacher Straße,3,69115,Heidelberg,DE,+49 6221 21200,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/muenchen-am-harras-12?id=9,McDonald's,"Am Harras 12, 81373 München",Am Harras,12,81373,München,DE,+49 89 74664791,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/koeln-barbarossaplatz-1?id=12,McDonald's,"Barbarossaplatz 1, 50674 Köln",Barbarossaplatz,1,50674,Köln,DE,+49 221 212811,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/muenchen-hohenzollernstrasse-152?id=6,McDonald's,"Hohenzollernstraße 152, 80797 München",Hohenzollernstraße,152,80797,München,DE,+49 89 30777866,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/noerten-hardenberg-unter-dem-pferdestiege-2?id=1794,McDonald's,"Unter dem Pferdestiege 2, 37176 Nörten-Hardenberg",Unter dem Pferdestiege,2,37176,Nörten-Hardenberg,DE,+49 89 78594413,,,,,,,,,,,,,
https://mcdelivery.de/,https://www.mcdonalds.de/restaurant/hasbergen-hauptstrasse-105?id=1793,McDonald's,"Hauptstraße 105, 49205 Hasbergen",Hauptstraße,105,49205,Hasbergen,DE,+49 5405 8087077,,,,,,,,,,,,,
